5m_open_time,5m_open_price,5m_high_price,5m_low_price,5m_close_price,5m_volume,5m_close_time,5m_quote_asset_volume,5m_number_of_trades,5m_taker_buy_base_asset_volume,5m_taker_buy_quote_asset_volume,5m_unused,timestamp_key,id,epoch,position,failed,startAt,startBlock,startHash,lockAt,lockBlock,lockHash,lockPrice,lockRoundId,closeAt,closeBlock,closeHash,closePrice,closeRoundId,totalBets,totalAmount,bullBets,bullAmount,bearBets,bearAmount
1665268500000,276.3,276.3,275.7,276.0,1061.835,1665268799999,293013.1291,600,690.824,190637.1225,0,2022-10-08 22:39:59.999,110534,110534,Bear,False,1665268211,22009960,0xb85796bdc069bf98b49a212a44b51063365d1146de238cdfaee8c6e715989ff9,1665268518,22010058,0x800c82a22df41a93f84c41e289a967d029944b971ef492532e8a6f20020f4905,276.29572002,18446744073711477380,1665268825,22010157,0x51496e6124d527b91d1afe46a6b8fd11b3a05a62efd5601a40b78c27cbb55f42,276.02,18446744073711477395,77,10.297182433109041038,29,5.302411429876716171,48,4.994771003232324867
1665268800000,276.0,276.1,275.8,276.1,1118.398,1665269099999,308620.1712,410,253.136,69863.1286,0,2022-10-08 22:44:59.999,110535,110535,Bull,False,1665268518,22010058,0x800c82a22df41a93f84c41e289a967d029944b971ef492532e8a6f20020f4905,1665268825,22010157,0x51496e6124d527b91d1afe46a6b8fd11b3a05a62efd5601a40b78c27cbb55f42,276.02,18446744073711477395,1665269134,22010260,0x2e3be6c912d7da48c1ed74934eae82660e3501b2ae9ddbebb5c3f17c59244203,276.08,18446744073711477409,80,18.182078770739918766,39,10.479702676972335084,41,7.702376093767583682
1665269100000,276.0,276.3,276.0,276.3,276.728,1665269399999,76419.6736,261,103.355,28541.4713,0,2022-10-08 22:49:59.999,110536,110536,Bull,False,1665268825,22010157,0x51496e6124d527b91d1afe46a6b8fd11b3a05a62efd5601a40b78c27cbb55f42,1665269134,22010260,0x2e3be6c912d7da48c1ed74934eae82660e3501b2ae9ddbebb5c3f17c59244203,276.08,18446744073711477409,1665269443,22010363,0x3d91d5c42390df6ded0d3af94a56689d490dfbe4fe006731c0f49b6122c881de,276.27,18446744073711477422,71,11.371375096987135021,41,7.470403916657171245,30,3.900971180329963776
1665269400000,276.3,276.3,276.0,276.2,288.382,1665269699999,79639.0727,286,180.627,49884.3462,0,2022-10-08 22:54:59.999,110537,110537,House,False,1665269134,22010260,0x2e3be6c912d7da48c1ed74934eae82660e3501b2ae9ddbebb5c3f17c59244203,1665269443,22010363,0x3d91d5c42390df6ded0d3af94a56689d490dfbe4fe006731c0f49b6122c881de,276.27,18446744073711477422,1665269755,22010462,0x6fcec1991e88ec7a84d9742c4cdb0389fefeb58aca7f4fce042564ff8b8b419e,276.27,18446744073711477438,88,17.416032812623778098,36,9.976952436795988849,52,7.439080375827789249
1665269700000,276.3,276.5,276.2,276.3,608.163,1665269999999,168067.956,305,405.333,112013.8048,0,2022-10-08 22:59:59.999,110538,110538,Bull,False,1665269443,22010363,0x3d91d5c42390df6ded0d3af94a56689d490dfbe4fe006731c0f49b6122c881de,1665269755,22010462,0x6fcec1991e88ec7a84d9742c4cdb0389fefeb58aca7f4fce042564ff8b8b419e,276.27,18446744073711477438,1665270067,22010566,0xf7b5c57ee27dac46d5654834abbdf1351fa936a43cda39e0ecf626631aa7ccb8,276.4,18446744073711477453,65,12.382521419716136177,29,8.309827258150734193,36,4.072694161565401984
1665270000000,276.3,276.8,276.3,276.8,450.063,1665270299999,124478.5443,325,322.106,89100.4676,0,2022-10-08 23:04:59.999,110539,110539,Bull,False,1665269755,22010462,0x6fcec1991e88ec7a84d9742c4cdb0389fefeb58aca7f4fce042564ff8b8b419e,1665270067,22010566,0xf7b5c57ee27dac46d5654834abbdf1351fa936a43cda39e0ecf626631aa7ccb8,276.4,18446744073711477453,1665270379,22010670,0x57ffaf9cdd38edbec1f950118223436b5d3d18f894426d96fc108f41db784118,276.69,18446744073711477468,57,14.136428241427846544,33,6.780976771550861519,24,7.355451469876985025
1665270300000,276.7,276.9,276.6,276.9,435.023,1665270599999,120399.2788,310,201.523,55773.9102,0,2022-10-08 23:09:59.999,110540,110540,Bull,False,1665270067,22010566,0xf7b5c57ee27dac46d5654834abbdf1351fa936a43cda39e0ecf626631aa7ccb8,1665270379,22010670,0x57ffaf9cdd38edbec1f950118223436b5d3d18f894426d96fc108f41db784118,276.69,18446744073711477468,1665270688,22010773,0x383e0c9312fba36b3a8156afca9dce81d71e8498ad9d72a0ea2825d05b2b61ae,276.83395036,18446744073711477481,77,16.770864895583371268,46,6.024295925676947107,31,10.746568969906424161
1665270600000,276.9,277.0,276.7,277.0,476.662,1665270899999,131983.5773,379,247.09,68420.299,0,2022-10-08 23:14:59.999,110541,110541,Bear,False,1665270379,22010670,0x57ffaf9cdd38edbec1f950118223436b5d3d18f894426d96fc108f41db784118,1665270688,22010773,0x383e0c9312fba36b3a8156afca9dce81d71e8498ad9d72a0ea2825d05b2b61ae,276.83395036,18446744073711477481,1665271000,22010877,0x24071ace20ff3e5d7f71e3e21714634f31e458716f300f1184f21a378bc8532b,276.76935375,18446744073711477496,73,16.213241227231529704,40,8.499161674565740833,33,7.714079552665788871
1665270900000,276.9,277.0,276.5,276.5,738.692,1665271199999,204405.3566,369,203.05,56190.6183,0,2022-10-08 23:19:59.999,110542,110542,Bear,False,1665270688,22010773,0x383e0c9312fba36b3a8156afca9dce81d71e8498ad9d72a0ea2825d05b2b61ae,1665271000,22010877,0x24071ace20ff3e5d7f71e3e21714634f31e458716f300f1184f21a378bc8532b,276.76935375,18446744073711477496,1665271309,22010980,0xaf77094d667b6f315b52cf68d1aa48f32e7120ffcecab7023b13a852ee0e9d21,276.54439961,18446744073711477510,87,21.262444036620713828,36,9.613391253597755873,51,11.649052783022957955
1665271200000,276.5,276.6,276.1,276.3,1544.736,1665271499999,426875.4975,454,376.318,103967.2131,0,2022-10-08 23:24:59.999,110543,110543,Bear,False,1665271000,22010877,0x24071ace20ff3e5d7f71e3e21714634f31e458716f300f1184f21a378bc8532b,1665271309,22010980,0xaf77094d667b6f315b52cf68d1aa48f32e7120ffcecab7023b13a852ee0e9d21,276.54439961,18446744073711477510,1665271618,22011083,0x0013fae6f02018a0965d05c049e0712d36dafd9f4cf12ccd4642d0a6841e7807,276.28,18446744073711477525,84,15.990884793415361917,39,4.570964275786850113,45,11.419920517628511804
